"Component","Year","HALFST"
"NS",2021,"35F2"
"NS",2021,"35F1"
"NS",2021,"36F1"
"NS",2021,"36F0"
"NS",2021,"37F0"
"NS",2021,"37F1"
"NS",2021,"37F2"
"NS",2021,"37F3"
"NS",2021,"37F4"
"NS",2021,"37F5"
"NS",2021,"37F6"
"NS",2021,"37F7"
"NS",2021,"43F7"
"NS",2021,"43F6"
"NS",2021,"43F5"
"NS",2021,"43F4"
"NS",2021,"43F3"
"NS",2021,"43F1"
"NS",2021,"43F0"
"NS",2021,"45E8"
"NS",2021,"45E9"
"NS",2021,"45F1"
"NS",2021,"45F2"
"NS",2021,"45F3"
"NS",2021,"45F4"
"NS",2021,"45F5"
"NS",2021,"46F4"
"NS",2021,"47F4"
"NS",2021,"48F4"
"NS",2021,"49F4"
"NS",2021,"50F4"
"NS",2021,"51F4"
"NS",2021,"51F3"
"NS",2021,"51F2"
"NS",2021,"51F1"
"NS",2021,"51F0"
"NS",2021,"51E9"
"NS",2021,"50E9"
"NS",2021,"50F0"
"NS",2021,"50F1"
"NS",2021,"50F2"
"NS",2021,"50F3"
"NS",2021,"49F3"
"NS",2021,"49F2"
"NS",2021,"49F1"
"NS",2021,"49F0"
"NS",2021,"49E9"
"NS",2021,"48E9"
"NS",2021,"48F0"
"NS",2021,"48F1"
"NS",2021,"48F2"
"NS",2021,"48F3"
"NS",2021,"47F3"
"NS",2021,"47F2"
"NS",2021,"47F1"
"NS",2021,"47F0"
"NS",2021,"47E9"
"NS",2021,"46F0"
"NS",2021,"46F1"
"NS",2021,"46F2"
"NS",2021,"46F3"
"NS",2021,"36F4"
"NS",2021,"36F5"
"NS",2021,"36F6"
"NS",2021,"36F7"
"NS",2021,"41F5"
"NS",2021,"41F4"
"NS",2021,"41F3"
"NS",2021,"41F2"
"NS",2021,"41F1"
"NS",2021,"41F0"
"NS",2021,"41E9"
"NS",2021,"39E8"
"NS",2021,"39E9"
"NS",2021,"39F0"
"NS",2021,"39F1"
"NS",2021,"39F3"
"NS",2021,"39F4"
"NS",2021,"36F3"
"NS",2021,"36F2"
"NS",2021,"35F3"
"NS",2021,"35F4"
"NS",2021,"35F0"
"NS",2021,"43F2"
"NS",2021,"43E9"
"NS",2021,"43E8"
"NS",2021,"45E7"
"NS",2021,"45F0"
"NS",2021,"47E8"
"NS",2021,"46E9"
"NS",2021,"41E8"
"NS",2021,"39F2"
"NS",2021,"52F4"
"NS",2021,"52F3"
"NS",2021,"52F2"
"NS",2021,"52F1"
"NS",2021,"52F0"
"NS",2021,"52E9"
"NS",2021,"54F0"
"NS",2021,"56F1"
"NS",2021,"56F2"
"NS",2021,"56F3"
"NS",2021,"56F4"
"NS",2021,"56F5"
"NS",2021,"56F6"
"NS",2021,"56F7"
"NS",2021,"60G1"
"NS",2021,"60G0"
"NS",2021,"60F9"
"NS",2021,"60F8"
"NS",2021,"60F7"
"NS",2021,"60F6"
"NS",2021,"60F5"
"NS",2021,"62F6"
"NS",2021,"64F8"
"NS",2021,"64F9"
"NS",2021,"64G0"
"NS",2021,"64G1"
"NS",2021,"64G2"
"NS",2021,"65G3"
"NS",2021,"65G2"
"NS",2021,"65G1"
"NS",2021,"65G0"
"NS",2021,"65F9"
"NS",2021,"65F8"
"NS",2021,"65F7"
"NS",2021,"64F7"
"NS",2021,"62F7"
"NS",2021,"62F8"
"NS",2021,"62F9"
"NS",2021,"62G0"
"NS",2021,"62G1"
"NS",2021,"58G0"
"NS",2021,"58F9"
"NS",2021,"58F8"
"NS",2021,"58F7"
"NS",2021,"58F6"
"NS",2021,"58F5"
"NS",2021,"58F4"
"NS",2021,"58F3"
"NS",2021,"58F2"
"NS",2021,"54F1"
"NS",2021,"54F2"
"NS",2021,"54F3"
"NS",2021,"54F4"
"NS",2021,"54F5"
"NS",2021,"44F7"
"NS",2021,"44F6"
"NS",2021,"44F5"
"NS",2021,"44F4"
"NS",2021,"44F3"
"NS",2021,"44F2"
"NS",2021,"44F1"
"NS",2021,"44F0"
"NS",2021,"44E9"
"NS",2021,"44E8"
"NS",2021,"42E8"
"NS",2021,"42E9"
"NS",2021,"42F0"
"NS",2021,"42F1"
"NS",2021,"42F2"
"NS",2021,"42F3"
"NS",2021,"42F4"
"NS",2021,"42F5"
"NS",2021,"42F6"
"NS",2021,"42F7"
"NS",2021,"40F7"
"NS",2021,"40F6"
"NS",2021,"40F5"
"NS",2021,"40F4"
"NS",2021,"40F3"
"NS",2021,"40F2"
"NS",2021,"40F1"
"NS",2021,"40F0"
"NS",2021,"40E9"
"NS",2021,"40E8"
"NS",2021,"38E9"
"NS",2021,"38F0"
"NS",2021,"38F1"
"NS",2021,"38F2"
"NS",2021,"38F3"
"NS",2021,"38F4"
"NS",2021,"38F5"
"NS",2021,"38F6"
"NS",2021,"38F7"
"NS",2021,"39F7"
"NS",2021,"39F6"
"NS",2021,"39F5"
"NS",2021,"41F6"
"NS",2021,"41F7"
